file,ismelody,program,instrument,notes,chordratio,avgpitch,pitchrange,rpat,dur,steps
"10cc/Dreadlock Holiday.2.mid",T,100,FX 5 (brightness),412,1.00,60,21,37,0.370,93
"10cc/Dreadlock Holiday.2.mid",F,91,Pad 4 (choir),249,0.85,70,21,16,0.568,57
"10cc/Dreadlock Holiday.2.mid",F,33,Electric Bass (finger),474,1.00,37,21,16,0.344,129
"10cc/Dreadlock Holiday.2.mid",F,27,Electric Guitar (clean),1012,0.35,68,35,25,0.245,338
"10cc/Dreadlock Holiday.2.mid",F,27,Electric Guitar (clean),1047,0.31,62,32,14,0.250,32
"10cc/Dreadlock Holiday.2.mid",F,4,Electric Piano 1,462,0.29,64,44,9,0.286,161
"10cc/Dreadlock Holiday.2.mid",F,12,Marimba,1280,0.44,64,21,6,0.115,223
"10cc/Dreadlock Holiday.2.mid",F,18,Rock Organ,78,0.32,77,36,7,0.229,21
"10cc/Dreadlock Holiday.2.mid",F,88,Pad 1 (new age),343,1.00,70,12,5,0.203,47
"10cc/I'm Not In Love.2.mid",F,33,Electric Bass (finger),71,1.00,34,21,11,2.451,9
"10cc/I'm Not In Love.2.mid",F,52,Choir Aahs,193,0.45,61,40,18,5.521,35
"10cc/I'm Not In Love.2.mid",T,73,Flute,238,1.00,73,21,21,1.049,31
"10cc/I'm Not In Love.2.mid",F,4,Electric Piano 1,574,0.39,59,31,18,0.911,167
"10cc/I'm Not In Love.2.mid",F,53,Voice Oohs,16,1.00,62,14,1,3.880,0
"10cc/I'm Not In Love.2.mid",F,54,Synth Voice,99,0.60,63,28,7,2.966,29
"10cc/I'm Not In Love.2.mid",F,27,Electric Guitar (clean),794,0.39,62,20,50,0.844,372
"10cc/I'm Not In Love.2.mid",F,0,Acoustic Grand,101,0.50,74,29,7,0.461,64
"10cc/I'm Not In Love.2.mid",F,9,Glockenspiel,100,1.00,84,16,9,0.242,17
"10cc/I'm Not In Love.2.mid",F,96,FX 1 (rain),12,1.00,86,7,2,3.646,1
"10cc/I'm Not In Love.2.mid",F,88,Pad 1 (new age),8,1.00,85,2,2,3.958,0
"1910 Fruitgum Company/Simon Says.1.mid",F,18,Rock Organ,630,0.33,72,29,5,0.193,576
"1910 Fruitgum Company/Simon Says.1.mid",F,34,Electric Bass (pick),499,1.00,34,14,6,0.583,20
"1910 Fruitgum Company/Simon Says.1.mid",F,48,String Ensemble 1,53,0.34,66,14,1,5.510,3
"1910 Fruitgum Company/Simon Says.1.mid",T,67,Baritone Sax,268,1.00,71,10,14,0.479,96
"1910 Fruitgum Company/Simon Says.1.mid",F,25,Acoustic Guitar (steel),583,0.78,59,23,3,0.781,0
"1910 Fruitgum Company/Simon Says.1.mid",F,0,Acoustic Grand,397,0.59,59,23,6,0.823,0
"1910 Fruitgum Company/Simon Says.1.mid",F,0,Acoustic Grand,152,0.33,71,12,2,0.167,119
"1910 Fruitgum Company/Simon Says.1.mid",F,61,Brass Section,130,0.33,68,24,3,0.839,43
"1910 Fruitgum Company/Simon Says.1.mid",F,53,Voice Oohs,124,0.33,68,17,2,0.682,43
"1910 Fruitgum Company/Simon Says.1.mid",F,16,Drawbar Organ,45,0.58,80,12,7,0.453,13
"1910 Fruitgum Company/Simon Says.mid",T,61,Brass Section,253,1.00,71,10,13,0.758,99
"1910 Fruitgum Company/Simon Says.mid",F,33,Electric Bass (finger),335,1.00,31,7,10,0.573,25
"1910 Fruitgum Company/Simon Says.mid",F,16,Drawbar Organ,528,0.35,77,24,4,0.216,447
"1910 Fruitgum Company/Simon Says.mid",F,18,Rock Organ,97,0.58,75,21,6,0.589,34
"1910 Fruitgum Company/Simon Says.mid",F,48,String Ensemble 1,69,0.39,60,10,2,4.341,17
"1910 Fruitgum Company/Simon Says.mid",F,28,Electric Guitar (muted),284,0.33,64,12,3,0.164,234
"2 Brothers on the 4th Floor/Let Me Be Free.mid",F,81,Lead 2 (sawtooth),240,1.00,59,9,1,0.432,0
"2 Brothers on the 4th Floor/Let Me Be Free.mid",F,39,Synth Bass 2,628,1.00,44,19,3,0.320,416
"2 Brothers on the 4th Floor/Let Me Be Free.mid",F,18,Rock Organ,172,0.33,73,12,2,0.133,100
"2 Brothers on the 4th Floor/Let Me Be Free.mid",T,35,Fretless Bass,167,1.00,62,17,7,0.529,59
"2 Brothers on the 4th Floor/Let Me Be Free.mid",F,90,Pad 3 (polysynth),70,0.33,58,14,1,3.901,1
"2 Brothers on the 4th Floor/Let Me Be Free.mid",F,81,Lead 2 (sawtooth),1126,1.00,66,12,5,0.156,433
"2 Brothers on the 4th Floor/Let Me Be Free.mid",F,119,Reverse Cymbal,1,1.00,67,0,0,2.000,0
"2 Unlimited/Here I Go.mid",F,2,Electric Grand,40,0.31,63,12,1,0.365,32
"2 Unlimited/Here I Go.mid",F,33,Electric Bass (finger),704,1.00,30,5,1,0.250,674
"2 Unlimited/Here I Go.mid",F,0,Acoustic Grand,1,1.00,31,0,0,15.193,0
"2 Unlimited/Here I Go.mid",T,65,Alto Sax,215,1.00,68,14,6,0.516,58
"2 Unlimited/Here I Go.mid",F,50,SynthStrings 1,269,0.52,68,54,4,2.070,55
"2 Unlimited/Here I Go.mid",F,62,SynthBrass 1,212,1.00,56,18,3,0.445,44
"2 Unlimited/Here I Go.mid",F,81,Lead 2 (sawtooth),416,1.00,43,2,2,0.188,208
"2 Unlimited/Here I Go.mid",F,81,Lead 2 (sawtooth),1152,1.00,48,17,1,0.104,550
"2 Unlimited/Here I Go.mid",F,56,Trumpet,6,1.00,69,0,2,2.831,4
"2 Unlimited/Here I Go.mid",F,25,Acoustic Guitar (steel),184,1.00,76,43,2,0.133,101
"2 Unlimited/Let the Beat Control Your Body.1.mid",F,18,Rock Organ,180,0.25,70,38,2,0.453,90
"2 Unlimited/Let the Beat Control Your Body.1.mid",F,33,Electric Bass (finger),673,1.00,39,26,1,0.456,0
"2 Unlimited/Let the Beat Control Your Body.1.mid",F,7,Clav,180,1.00,45,7,2,0.466,117
"2 Unlimited/Let the Beat Control Your Body.1.mid",T,35,Fretless Bass,297,0.79,60,22,7,0.385,117
"2 Unlimited/Let the Beat Control Your Body.1.mid",F,50,SynthStrings 1,36,0.35,62,12,2,2.734,0
"2 Unlimited/Let the Beat Control Your Body.1.mid",F,48,String Ensemble 1,29,0.25,67,36,4,1.260,21
"2 Unlimited/Let the Beat Control Your Body.1.mid",F,38,Synth Bass 1,288,1.00,44,14,1,0.224,155
"2 Unlimited/Let the Beat Control Your Body.1.mid",F,55,Orchestra Hit,1,1.00,68,0,0,1.068,0
"2 Unlimited/Let the Beat Control Your Body.1.mid",F,62,SynthBrass 1,46,1.00,29,12,4,0.404,20
"2 Unlimited/Let the Beat Control Your Body.1.mid",F,0,Acoustic Grand,947,1.00,45,2,2,0.273,8
"2 Unlimited/Maximum Overdrive.mid",F,18,Rock Organ,288,1.00,68,3,1,0.484,144
"2 Unlimited/Maximum Overdrive.mid",F,33,Electric Bass (finger),528,1.00,32,3,1,0.484,264
"2 Unlimited/Maximum Overdrive.mid",F,29,Overdriven Guitar,432,1.00,44,3,1,0.484,216
"2 Unlimited/Maximum Overdrive.mid",T,35,Fretless Bass,197,0.35,64,17,9,0.602,56
"2 Unlimited/Maximum Overdrive.mid",F,81,Lead 2 (sawtooth),570,1.00,41,15,1,0.484,285
"2 Unlimited/Maximum Overdrive.mid",F,80,Lead 1 (square),100,1.00,78,24,2,0.555,0
"2 Unlimited/Maximum Overdrive.mid",F,30,Distortion Guitar,28,0.50,51,12,2,3.768,22
"2 Unlimited/Maximum Overdrive.mid",F,13,Xylophone,63,1.00,56,3,1,0.206,35
"2 Unlimited/Maximum Overdrive.mid",F,17,Percussive Organ,63,1.00,56,3,1,0.240,35
"2 Unlimited/Maximum Overdrive.mid",F,29,Overdriven Guitar,45,0.75,47,18,1,0.141,0
