10cc/Dreadlock Holiday.2.mid	4 100
10cc/I'm Not In Love.2.mid	4 73
1910 Fruitgum Company/Simon Says.1.mid	4 67
1910 Fruitgum Company/Simon Says.mid	1 61
2 Brothers on the 4th Floor/Let Me Be Free.mid	4 35
2 Unlimited/Here I Go.mid	4 65
2 Unlimited/Let the Beat Control Your Body.1.mid	4 35
2 Unlimited/Maximum Overdrive.mid	4 35
2 Unlimited/No Limit (extended).mid	4 26
2 Unlimited/No One.mid	4 35
2 Unlimited/The Real Thing.2.mid	4 87
2 Unlimited/Twilight Zone.3.mid	4 63
20 Fingers/Lick It.mid	4 62
20 Fingers/Short Dick Man.mid	4 47
4 Non Blondes/What's Up.3.mid	4 25
883/Come mai (feat. Fiorello).1.mid	4 11
883/Tieni il tempo.mid	4 73
883/Una canzone d'amore.1.mid	4 73
911/The Day We Find Love.mid	6 100
98 Degrees/She's Out of My Life.mid	4 69
ABBA/Another Town, Another Train.mid	3 73
ABBA/Dance (While the Music Still Goes on).1.mid	1 73
ABBA/Dance (While the Music Still Goes on).3.mid	1 73
ABBA/Dancing Queen.4.mid	4 94
ABBA/Dancing Queen.7.mid	4 24
ABBA/Dancing Queen.8.mid	4 85
ABBA/Dancing Queen.mid	4 85
ABBA/Does Your Mother Know.2.mid	4 73
ABBA/Does Your Mother Know.3.mid	4 73
ABBA/Fernando.6.mid	4 82
ABBA/Fernando.8.mid	4 71
ABBA/Gimme! Gimme! Gimme!.mid	1 73
ABBA/Hey, Hey Helen.1.mid	1 73
ABBA/Hole In Your Soul.mid	1 73
ABBA/Hole In Your Soul.mid	6 73
ABBA/Hole In Your Soul.mid	7 73
ABBA/I Do, I Do, I Do, I Do.1.mid	9 62
ABBA/I Have a Dream.1.mid	4 75
ABBA/I Wonder (Departure).mid	1 73
ABBA/I'm a Marionette.1.mid	1 73
ABBA/I'm a Marionette.mid	1 73
ABBA/I've Been Waiting For You.mid	1 73
ABBA/Kisses of Fire.1.mid	1 73
ABBA/Knowing Me, Knowing You.1.mid	4 73
ABBA/Knowing Me, Knowing You.4.mid	4 83
ABBA/Knowing Me, Knowing You.mid	4 83
ABBA/Lay All Your Love on Me.2.mid	4 24
ABBA/Lay All Your Love on Me.mid	4 90
ABBA/Lay All Your Love on Me.mid	12 81
ABBA/Like an Angel Passing Through My Room.mid	1 73
ABBA/Lovers (Live a Little Longer).mid	1 73
ABBA/Money, Money, Money.1.mid	4 87
ABBA/Money, Money, Money.5.mid	4 73
ABBA/Move On.mid	1 53
ABBA/My Love My Life.mid	1 73
ABBA/Name of the Game.3.mid	4 0
ABBA/Name of the Game.4.mid	4 0
ABBA/Nina Pretty Ballerina.mid	1 73
ABBA/One Of Us.mid	7 62
ABBA/Rock Me.mid	1 85
ABBA/Super Trouper.1.mid	4 82
ABBA/Super Trouper.4.mid	2 88
ABBA/Super Trouper.mid	2 88
ABBA/Take a Chance on Me.2.mid	4 24
ABBA/Take a Chance on Me.4.mid	1 64
ABBA/Take a Chance on Me.4.mid	2 94
ABBA/Take a Chance on Me.4.mid	3 102
ABBA/Take a Chance on Me.4.mid	4 94
ABBA/Take a Chance on Me.4.mid	9 99
ABBA/Take a Chance on Me.4.mid	5 100
ABBA/Take a Chance on Me.4.mid	12 46
ABBA/Thank You for the Music.8.mid	4 71
ABBA/That's Me.1.mid	4 73
ABBA/That's Me.mid	4 73
ABBA/The Visitors.1.mid	1 73
ABBA/The Winner Takes It All.6.mid	4 24
ABBA/Tiger.1.mid	3 73
ABBA/Tiger.mid	3 73
ABBA/Two for the Price of One.mid	1 73
ABBA/Waterloo.1.mid	4 54
ABBA/Waterloo.2.mid	4 24
ABBA/Why Did It Have to Be Me.mid	3 73
ABC/Poison Arrow.mid	5 71
AC DC/For Those About To Rock (We Salute You).mid	4 103
AC DC/R.I.P. (Rock in Peace).mid	1 29
ANKA PAUL/Diana (feat. Ricky Martin).2.mid	4 60
ARMSTRONG LOUIS/C'est si bon.mid	4 11
Ace of Base/All That She Want's.3.mid	1 99
Ace of Base/All That She Want's.mid	1 99
Ace of Base/Don't Turn Around.1.mid	4 87
Ace of Base/Living in Danger.1.mid	4 75
Ace of Base/Lucky Love.mid	4 24
Ace of Base/The Sign.1.mid	4 11
Ace of Base/The Sign.2.mid	1 99
Ace of Base/The Sign.3.mid	1 99
Ace of Base/The Sign.4.mid	1 99
Ace of Base/Wheel of Fortune.2.mid	1 56
Ace/How Long.mid	1 87
Adam & Eve/Wenn die Sonne erwacht in den Bergen.mid	4 53
Adiemus/Kayama.mid	4 63
Adriano Celentano/Azzurro.1.mid	4 26
Adriano Celentano/Una festa sui prati.mid	4 65
Adventures of Stevie V_/Dirty Cash (Dime and Dollar mix).mid	1 56
Aerosmith/Dude (Looks Like A Lady).2.mid	8 73
Air Supply/Even the Nights Are Better.1.mid	5 50
Air Supply/Even the Nights Are Better.1.mid	6 0
Air Supply/Even the Nights Are Better.1.mid	7 0
Air Supply/Even the Nights Are Better.1.mid	8 4
Air Supply/Even the Nights Are Better.mid	5 50
Air Supply/Even the Nights Are Better.mid	6 0
Air Supply/Even the Nights Are Better.mid	7 0
Air Supply/Even the Nights Are Better.mid	8 4
Air Supply/Making Love Out of Nothing at All.1.mid	4 24
Air Supply/Making Love Out of Nothing at All.1.mid	8 24
Air Supply/Making Love Out of Nothing at All.mid	4 27
Air Supply/Making Love Out of Nothing at All.mid	8 27
Al Jarreau/We're in This Love Together.mid	4 26
Al Jolson/You Made Me Love You.mid	4 24
Al Martino/Volare.1.mid	4 35
Al Martino/Volare.mid	9 96
Al Stewart/On The Border.mid	11 73
Al Stewart/The Year of the Cat.1.mid	4 35
Alabama/Born Country.1.mid	4 65
Alabama/Born Country.mid	1 65
Alabama/I'm in a Hurry.1.mid	4 29
Alabama/Jukebox in My Mind.1.mid	4 26
Alain Barriere/Ma vie.mid	4 59
